"Name","License"
"Authlib","BSD License"
"Flask","BSD License"
"GitPython","BSD License"
"Jinja2","BSD License"
"Mako","MIT License"
"MarkupSafe","BSD License"
"PySnooper","MIT License"
"PyYAML","MIT License"
"Pygments","BSD License"
"SQLAlchemy","MIT License"
"SecretStorage","BSD License"
"Werkzeug","BSD License"
"alembic","MIT License"
"appdirs","MIT License"
"argcomplete","Apache Software License"
"attrs","MIT License"
"black","MIT License"
"bleach","Apache Software License"
"cachetools","MIT License"
"certifi","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","MIT License"
"chardet","GNU Library or Lesser General Public License (LGPL)"
"click","BSD License"
"cloudpickle","BSD License"
"colorama","BSD License"
"conda-pack","BSD License"
"cryptography","Apache Software License
"databricks-cli","Apache Software License"
"datamodel-code-generator","MIT License"
"dill","BSD License"
"distlib","Python Software Foundation License"
"dnspython","ISC License (ISCL)"
"docker","Apache Software License"
"docutils","Public Domain
"email-validator","CC0 1.0 Universal (CC0 1.0) Public Domain Dedication"
"entrypoints","MIT License"
"fastapi","MIT License"
"filelock","Public Domain"
"flake8","MIT License"
"flake8-black","MIT License"
"genson","MIT License"
"gitdb","BSD License"
"google-auth","Apache Software License"
"greenlet","MIT License"
"grpcio","Apache Software License"
"grpcio-tools","Apache Software License"
"gunicorn","MIT License"
"h11","MIT License"
"idna","BSD License"
"importlib-metadata","Apache Software License"
"inflect","MIT License"
"iniconfig","MIT License"
"isodate","BSD License"
"isort","MIT License"
"itsdangerous","BSD License"
"jeepney","MIT License"
"joblib","BSD License"
"jsonschema","MIT License"
"keyring","Python Software Foundation License
"kubernetes","Apache Software License"
"lightgbm","MIT License"
"mccabe","MIT License"
"mlflow","Apache License 2.0"
"mlops-tempo","Apache 2.0"
"mlserver","Apache 2.0"
"mlserver-lightgbm","Apache 2.0"
"mlserver-mlflow","Apache 2.0"
"mlserver-mllib","Apache 2.0"
"mlserver-sklearn","Apache 2.0"
"mlserver-xgboost","Apache 2.0"
"mypy","MIT License"
"mypy-extensions","MIT License"
"mypy-protobuf","Apache License 2.0"
"numpy","BSD License"
"oauthlib","BSD License"
"openapi-schema-validator","BSD 3-Clause License"
"openapi-spec-validator","Apache License
"orjson","Apache Software License
"packaging","Apache Software License
"pandas","BSD"
"pathspec","Mozilla Public License 2.0 (MPL 2.0)"
"pkginfo","MIT License"
"pluggy","MIT License"
"prance","MIT License"
"prometheus-client","Apache Software License"
"prometheus-flask-exporter","MIT License"
"protobuf","3-Clause BSD License"
"py","MIT License"
"py4j","BSD License"
"pyasn1","BSD License"
"pyasn1-modules","BSD License"
"pycodestyle","MIT License"
"pycparser","BSD License"
"pydantic","MIT License"
"pyflakes","MIT License"
"pyparsing","MIT License"
"pyrsistent","MIT License"
"pyspark","Apache Software License"
"pytest","MIT License"
"pytest-asyncio","Apache Software License"
"python-dateutil","BSD License
"python-editor","Apache Software License"
"python-rclone","Apache Software License"
"pytz","MIT License"
"querystring-parser","MIT License"
"readme-renderer","Apache Software License"
"regex","Apache Software License"
"requests","Apache Software License"
"requests-oauthlib","BSD License"
"requests-toolbelt","Apache Software License"
"rfc3986","Apache Software License"
"rsa","Apache Software License"
"scikit-learn","new BSD"
"scipy","BSD License"
"seldon-deploy-sdk","UNKNOWN"
"semver","BSD License"
"six","MIT License"
"smmap","BSD License"
"sqlparse","BSD License"
"starlette","BSD License"
"tabulate","MIT License"
"threadpoolctl","BSD License"
"toml","MIT License"
"tox","MIT License"
"tqdm","MIT License
"twine","Apache Software License"
"typed-ast","Apache License 2.0"
"typing-extensions","Python Software Foundation License"
"urllib3","MIT License"
"uvicorn","BSD License"
"virtualenv","MIT License"
"webencodings","BSD License"
"websocket-client","GNU Lesser General Public License v2 or later (LGPLv2+)"
"xgboost","Apache Software License"
"zipp","MIT License"
